TransactionID,TransactionAmount,MerchantID,TimeOfTransaction,Location,PreviousTransactionHistory,UserSpendingPatterns,Fraudulent,CardType,CardIssuer,IsInternational,IsHighRiskMerchant,TransactionType,AmountBalance,MerchantType,MerchantLocation,UserAge,MerchantCategory,MerchantRevenue
C17001,7619.187027752617,M123,2022-06-21 08:15:00,Location_1,Suspicious,Suspicious,0,Credit,Issuer_3,0,0,TRANSFER,34467.77510251523,Service,Location_2,32.0,Category_1,213157.0661283579
C17002,7326.161291841056,M456,2022-06-21 08:30:00,Location_3,Normal,Suspicious,0,Credit,Issuer_2,0,0,PAYMENT,11702.801309598928,Service,Location_1,58.0,Category_1,406463.5407377924
C17003,1590.9756018630765,M123,2022-06-21 08:45:00,Location_2,Normal,Normal,0,Debit,Issuer_3,0,0,TRANSFER,30042.953541022835,Retail,Location_3,37.0,Category_2,449679.3941211165
C17004,1723.9424564827284,M456,2022-06-21 09:00:00,Location_1,Suspicious,Normal,0,Debit,Issuer_2,0,0,TRANSFER,14334.955691921437,Retail,Location_1,40.0,Category_3,363288.4684274308
C17005,4096.798985840616,M789,2022-06-21 09:15:00,Location_2,Normal,Suspicious,0,Debit,Issuer_3,0,0,PAYMENT,48200.41451046941,Service,Location_1,38.0,Category_1,379609.66893084405
C17006,6917.12979782922,M789,2022-06-21 09:30:00,Location_2,Normal,Normal,1,Credit,Issuer_1,1,0,DEBIT,27186.43237439571,Service,Location_1,,Category_3,305177.5871799781
C17007,2051.631615016817,M789,2022-06-21 09:45:00,Location_3,Normal,Normal,0,Debit,Issuer_2,0,0,TRANSFER,2715.8057801385894,Online,Location_3,42.0,Category_3,120883.4774524353
C17008,4427.014507558557,M456,2022-06-21 10:00:00,Location_3,Normal,Normal,0,Debit,Issuer_3,0,0,TRANSFER,10066.544010810521,Online,Location_3,41.0,Category_1,432120.59295532794
C17009,3893.0296480754996,M123,2022-06-21 10:15:00,Location_1,Normal,Normal,1,Credit,Issuer_1,0,0,DEBIT,16923.778317409728,Service,Location_3,52.0,Category_2,6690.351360095779
C170010,944.7378049290859,M123,2022-06-21 10:30:00,Location_1,Normal,Suspicious,0,Credit,Issuer_1,0,0,CASH_IN,12072.585032973959,Retail,Location_3,28.0,Category_2,405152.42729753547
C170011,816.1638704519895,M789,2022-06-21 10:45:00,Location_1,Normal,Normal,1,Credit,Issuer_3,0,1,DEBIT,16228.259427520137,Retail,Location_1,45.0,Category_2,429245.5952718867
C170012,10686.776306622307,M456,2022-06-21 11:00:00,Location_3,Normal,Suspicious,0,Credit,Issuer_2,1,0,CASH_OUT,14033.442734268612,Online,Location_3,38.0,Category_1,465975.83323706494
C170013,6719.905883026711,M789,2022-06-21 11:15:00,Location_3,Normal,Normal,0,Debit,Issuer_1,0,1,TRANSFER,2351.0176188843275,Online,Location_2,32.0,Category_3,328206.958240951
C170014,6881.928962169406,M456,2022-06-21 11:30:00,Location_2,Normal,Normal,1,Credit,Issuer_2,0,0,TRANSFER,8464.218705100364,Retail,Location_3,31.0,Category_1,483138.5181144458
C170015,925.6859748488064,M789,2022-06-21 11:45:00,Location_3,Suspicious,Suspicious,0,Debit,Issuer_3,0,0,CREDIT,28768.94242408218,Online,Location_1,37.0,Category_1,214458.0642888028
C170016,4972.108009192023,M456,2022-06-21 12:00:00,Location_3,Normal,Suspicious,0,Debit,Issuer_2,1,0,CASH_OUT,42930.83606439396,Service,Location_1,,Category_2,12339.493008876914
C170017,579.8811094880951,M789,2022-06-21 12:15:00,Location_2,Normal,Normal,0,Credit,Issuer_2,0,0,CASH_OUT,18448.600592117436,Online,Location_3,45.0,Category_1,362887.93479667313
C170018,733.6266197765416,M456,2022-06-21 12:30:00,Location_3,Suspicious,Normal,1,Debit,Issuer_3,0,0,PAYMENT,40918.42584058817,Online,Location_1,36.0,Category_1,132693.45137146622
C170019,6897.653147195655,M456,2022-06-21 12:45:00,Location_2,Normal,Suspicious,0,Credit,Issuer_3,0,0,CREDIT,27233.35530568816,Retail,Location_2,57.0,Category_2,278013.9679474128
C170020,13822.331606760856,M789,2022-06-21 13:00:00,Location_2,Suspicious,Normal,0,Credit,Issuer_2,0,0,CASH_OUT,30074.57934672717,Retail,Location_1,45.0,Category_3,41430.97932817552
C170021,7138.823394624829,M123,2022-06-21 13:15:00,Location_1,Normal,Suspicious,0,Debit,Issuer_2,0,1,CREDIT,35617.51303115693,Online,Location_3,27.0,Category_3,182547.68326275452
C170022,9960.426301090149,M123,2022-06-21 13:30:00,Location_1,Normal,Normal,1,Credit,Issuer_1,0,0,PAYMENT,1099.5114998225931,Retail,Location_1,53.0,Category_1,42450.53070910523
C170023,2486.8073679454515,M456,2022-06-21 13:45:00,Location_2,Normal,Normal,0,Credit,Issuer_3,0,0,CREDIT,41178.49885760792,Service,Location_2,25.0,Category_3,244389.972389131
C170024,7390.821971712179,M789,2022-06-21 14:00:00,Location_1,Normal,Normal,0,Credit,Issuer_3,0,0,CREDIT,19714.69513760219,Service,Location_1,42.0,Category_3,161222.30928050922
C170025,2443.6253483883256,M456,2022-06-21 14:15:00,Location_2,Normal,Suspicious,0,Credit,Issuer_1,1,0,CASH_IN,49290.47169100574,Service,Location_1,54.0,Category_1,424901.85050957
C170026,4514.0305590679345,M456,2022-06-21 14:30:00,Location_3,Normal,Normal,0,Debit,Issuer_3,0,0,PAYMENT,30830.722648567866,Online,Location_1,48.0,Category_3,85694.10324042798
